Symbol,Series,ISIN
BANKINDIA,EQ,INE084A01016
BANSAL,SM,INE668X01018
BANSWRAS,EQ,INE629D01012
BARTRONICS,EQ,INE855F01034
BASF,EQ,INE373A01013
BASML,EQ,INE186H01014
BATAINDIA,EQ,INE176A01028
BAYERCROP,EQ,INE462A01022
BBL,EQ,INE464A01028
BBTC,EQ,INE050A01025
BEARDSELL,EQ,INE520H01022
BEDMUTHA,EQ,INE844K01012
BEL,EQ,INE263A01024
BEML,EQ,INE258A01016
BEPL,EQ,INE922A01025
BERGEPAINT,EQ,INE463A01038
BETA,SM,INE351Y01019
BFINVEST,EQ,INE878K01010
BFUTILITIE,EQ,INE243D01012
BGLOBAL,BE,INE224M01013
BGRENERGY,EQ,INE661I01014
BHAGERIA,EQ,INE354C01027
BHAGYANGR,EQ,INE458B01036
BHAGYAPROP,EQ,INE363W01018
BHANDARI,EQ,INE474E01029
BHARATFIN,EQ,INE180K01011
BHARATFORG,EQ,INE465A01025
BHARATGEAR,EQ,INE561C01019
BHARATIDIL,BE,INE673G01013
BHARATRAS,EQ,INE838B01013
BHARATWIRE,EQ,INE316L01019
BHARTIARTL,EQ,INE397D01024
BHEL,EQ,INE257A01026
BHUSANSTL,EQ,INE824B01021
BIGBLOC,EQ,INE412U01017
BIL,EQ,INE828A01016
BILPOWER,EQ,INE952D01018
BINANIIND,EQ,INE071A01013
BINDALAGRO,EQ,INE143A01010
BIOCON,EQ,INE376G01013
BIOFILCHEM,BE,INE829A01014
BIRLACABLE,EQ,INE800A01015
BIRLACORPN,EQ,INE340A01012
BIRLAMONEY,EQ,INE865C01022
BLBLIMITED,BE,INE791A01024
BLISSGVS,EQ,INE416D01022
BLKASHYAP,EQ,INE350H01032
BLS,EQ,INE153T01027
BLUEBLENDS,EQ,INE113O01014
BLUECOAST,EQ,INE472B01011
BLUEDART,EQ,INE233B01017
BLUEDART,N1,INE233B08087
BLUEDART,N2,INE233B08095
BLUEDART,N3,INE233B08103
BLUESTARCO,EQ,INE472A01039
BODALCHEM,EQ,INE338D01028
BOHRA,SM,INE802W01015
BOMDYEING,EQ,INE032A01023
BOSCHLTD,EQ,INE323A01026
BPCL,EQ,INE029A01011
BPL,EQ,INE110A01019
BRFL,EQ,INE589G01011
BRIGADE,EQ,INE791I01019
BRITANNIA,EQ,INE216A01022
BRNL,EQ,INE727S01012
BROOKS,EQ,INE650L01011
BSE,EQ,INE118H01025
BSELINFRA,EQ,INE395A01016
BSL,EQ,INE594B01012
BSLGOLDETF,EQ,INF209K01HT2
BSLIMITED,BE,INE043K01029
BSLNIFTY,EQ,INF209K01IR4
BURNPUR,EQ,INE817H01014
BUTTERFLY,EQ,INE295F01017
BVCL,BE,INE139I01011
BYKE,EQ,INE319B01014
CADILAHC,EQ,INE010B01027
CADSYS,SM,INE090Y01013
CALSOFT,EQ,INE526B01014
CAMLINFINE,EQ,INE052I01032
CANBK,EQ,INE476A01014
CANDC,EQ,INE874H01015
CANFINHOME,EQ,INE477A01020
CANTABIL,EQ,INE068L01016
CAPACITE,EQ,INE264T01014
CAPF,EQ,INE688I01017
CAPLIPOINT,EQ,INE475E01026
CAPTRUST,EQ,INE707C01018
CARBORUNIV,EQ,INE120A01034
CAREERP,EQ,INE521J01018
CARERATING,EQ,INE752H01013
CASTEXTECH,EQ,INE068D01021
CASTROLIND,EQ,INE172A01027
CCCL,EQ,INE429I01024
CCHHL,EQ,INE652F01027
CCL,EQ,INE421D01022
CDSL,EQ,INE736A01011
CEATLTD,EQ,INE482A01020
CEBBCO,EQ,INE209L01016
CELEBRITY,BE,INE185H01016
CELESTIAL,EQ,INE221I01017
CENTENKA,EQ,INE485A01015
CENTEXT,BE,INE281A01026
CENTRALBK,EQ,INE483A01010
CENTUM,EQ,INE320B01020
CENTURYPLY,EQ,INE348B01021
CENTURYTEX,EQ,INE055A01016
CERA,EQ,INE739E01017
CEREBRAINT,EQ,INE345B01019
CESC,EQ,INE486A01013
CGCL,EQ,INE180C01026
CGPOWER,EQ,INE067A01029
CHAMBLFERT,EQ,INE085A01013
CHENNPETRO,EQ,INE178A01016
CHOLAFIN,EQ,INE121A01016
CHROMATIC,EQ,INE662C01015
CIGNITITEC,EQ,INE675C01017
CIMMCO,EQ,INE184C01028
CINELINE,EQ,INE704H01022
CINEVISTA,BE,INE039B01026
CIPLA,EQ,INE059A01026
CKPPRODUCT,SM,INE977V01017
CLEDUCATE,EQ,INE201M01011
CLNINDIA,EQ,INE492A01029
CMICABLES,EQ,INE981B01011
CMMIPL,SM,INE289S01013
CNOVAPETRO,EQ,INE672K01025
COALINDIA,EQ,INE522F01014
COCHINSHIP,EQ,INE704P01017
COFFEEDAY,EQ,INE335K01011
COLPAL,EQ,INE259A01022
COMPINFO,EQ,INE070C01037
COMPUSOFT,EQ,INE453B01029
CONCOR,EQ,INE111A01017
CONSOFINVT,EQ,INE025A01027
CONTROLPR,EQ,INE663B01015
CORALFINAC,EQ,INE558D01021
CORDSCABLE,EQ,INE792I01017
COROMANDEL,EQ,INE169A01031
CORPBANK,EQ,INE112A01023
COSMOFILMS,EQ,INE757A01017
COUNCODOS,EQ,INE695B01025
COX&KINGS,EQ,INE008I01026
CPSEETF,EQ,INF457M01133
CREATIVE,SM,INE985W01018
CREATIVEYE,EQ,INE230B01021
CREST,EQ,INE559D01011
CRISIL,EQ,INE007A01025
CROMPTON,EQ,INE299U01018
CTE,EQ,INE627H01017
CUB,EQ,INE491A01021
CUBEXTUB,BE,INE144D01012
CUMMINSIND,EQ,INE298A01020
CUPID,EQ,INE509F01011
CURATECH,BE,INE117B01012
