Symbol,Series,ISIN
JAYAGROGN,EQ,INE785A01026
JAYBARMARU,EQ,INE571B01028
JAYNECOIND,EQ,INE854B01010
JAYSREETEA,EQ,INE364A01020
JBCHEPHARM,EQ,INE572A01028
JBFIND,EQ,INE187A01017
JBMA,EQ,INE927D01028
JCHAC,EQ,INE782A01015
JENSONICOL,EQ,INE819B01021
JETAIRWAYS,EQ,INE802G01018
JHS,EQ,INE544H01014
JINDALPHOT,EQ,INE796G01012
JINDALPOLY,EQ,INE197D01010
JINDALSAW,EQ,INE324A01024
JINDALSTEL,EQ,INE749A01030
JINDCOT,EQ,INE904J01016
JINDRILL,EQ,INE742C01031
JINDWORLD,EQ,INE247D01013
JISLDVREQS,EQ,IN9175A01010
JISLJALEQS,EQ,INE175A01038
JITFINFRA,BE,INE863T01013
JKCEMENT,EQ,INE823G01014
JKIL,EQ,INE576I01022
JKLAKSHMI,EQ,INE786A01032
JKPAPER,EQ,INE789E01012
JKTYRE,EQ,INE573A01042
JMA,EQ,INE412C01015
JMCPROJECT,EQ,INE890A01016
JMFINANCIL,EQ,INE780C01023
JMTAUTOLTD,EQ,INE988E01036
JOCIL,EQ,INE839G01010
JPASSOCIAT,EQ,INE455F01025
JPINFRATEC,EQ,INE099J01015
JPOLYINVST,EQ,INE147P01019
JPPOWER,EQ,INE351F01018
JSL,EQ,INE220G01021
JSLHISAR,EQ,INE455T01018
JSWENERGY,EQ,INE121E01018
JSWHL,EQ,INE824G01012
JSWSTEEL,EQ,INE019A01038
JSWSTEEL,P2,INE019A04024
JUBILANT,EQ,INE700A01033
JUBLFOOD,EQ,INE797F01012
JUBLINDS,EQ,INE645L01011
JUNIORBEES,EQ,INF732E01045
JUSTDIAL,EQ,INE599M01018
JVLAGRO,EQ,INE430G01026
JYOTHYLAB,EQ,INE668F01031
JYOTISTRUC,BE,INE197A01024
KABRAEXTRU,EQ,INE900B01029
KAJARIACER,EQ,INE217B01036
KAKATCEM,EQ,INE437B01014
KALPATPOWR,EQ,INE220B01022
KALYANIFRG,BE,INE314G01014
KAMATHOTEL,EQ,INE967C01018
KAMDHENU,EQ,INE390H01012
KANANIIND,EQ,INE879E01037
KANORICHEM,EQ,INE138C01024
KANSAINER,EQ,INE531A01024
KARMAENG,EQ,INE725L01011
KARURVYSYA,EQ,INE036D01028
KAVVERITEL,EQ,INE641C01019
KAYA,EQ,INE587G01015
KCP,EQ,INE805C01028
KCPSUGIND,EQ,INE790B01024
KDDL,EQ,INE291D01011
KEC,EQ,INE389H01022
KECL,EQ,INE134B01017
KEERTI,SM,INE586X01012
KEI,EQ,INE878B01027
KELLTONTEC,EQ,INE164B01022
KERNEX,BZ,INE202H01019
KESARENT,EQ,INE133B01019
KESORAMIND,EQ,INE087A01019
KEYCORPSER,EQ,INE681C01015
KGL,BE,INE299C01024
KHAITANELE,BE,INE761A01019
KHAITANLTD,EQ,INE731C01018
KHANDSE,EQ,INE060B01014
KICL,EQ,INE029L01018
KILITCH,BE,INE729D01010
KINGFA,EQ,INE473D01015
KIOCL,EQ,INE880L01014
KIRIINDUS,EQ,INE415I01015
KIRLOSBROS,EQ,INE732A01036
KIRLOSENG,EQ,INE146L01010
KIRLOSIND,EQ,INE250A01039
KITEX,EQ,INE602G01020
KKCL,EQ,INE401H01017
KKVAPOW,SM,INE239T01016
KMSUGAR,EQ,INE157H01023
KNRCON,EQ,INE634I01029
KOHINOOR,EQ,INE080B01012
KOKUYOCMLN,EQ,INE760A01029
KOLTEPATIL,EQ,INE094I01018
KOPRAN,EQ,INE082A01010
KOTAKBANK,EQ,INE237A01028
KOTAKBKETF,EQ,INF174K01F59
KOTAKGOLD,EQ,INF373I01049
KOTAKNIFTY,EQ,INF174K014P6
KOTAKNV20,EQ,INF174K01Z71
KOTAKPSUBK,EQ,INF373I01023
KOTARISUG,EQ,INE419A01022
KOTHARIPET,EQ,INE720A01015
KOTHARIPRO,EQ,INE823A01017
KPIT,EQ,INE836A01035
KPRMILL,EQ,INE930H01023
KRBL,EQ,INE001B01026
KREBSBIO,BE,INE268B01013
KRIDHANINF,EQ,INE524L01026
KRISHANA,SM,INE506W01012
KSBPUMPS,EQ,INE999A01015
KSCL,EQ,INE455I01029
KSERASERA,EQ,INE216D01026
KSK,BE,INE143H01015
KSL,EQ,INE907A01026
KTIL,EQ,INE096L01025
KTKBANK,EQ,INE614B01018
KWALITY,EQ,INE775B01025
L&TFH,EQ,INE498L01015
L&TFINANCE,N4,INE523E07459
L&TINFRA,N2,INE691I07174
L&TINFRA,N3,INE691I07182
L&TINFRA,N4,INE691I07190
L&TINFRA,N5,INE691I07224
L&TINFRA,N6,INE691I07232
LAKPRE,EQ,INE651C01018
LAKSHMIEFL,EQ,INE992B01026
LAKSHVILAS,EQ,INE694C01018
LALPATHLAB,EQ,INE600L01024
LAMBODHARA,EQ,INE112F01022
LAOPALA,EQ,INE059D01020
LASA,BE,INE670X01014
LAURUSLABS,EQ,INE947Q01010
LAXMICOT,SM,INE801V01019
LAXMIMACH,EQ,INE269B01029
LCCINFOTEC,BE,INE938A01021
LEEL,EQ,INE245C01019
LEXUS,SM,INE500X01013
LFIC,BE,INE850E01012
LGBBROSLTD,EQ,INE337A01034
LGBFORGE,BE,INE201J01017
LIBERTSHOE,BE,INE557B01019
LICHSGFIN,EQ,INE115A01026
LICNETFGSC,EQ,INF767K01MV5
LICNETFN50,EQ,INF767K01OS7
LINCOLN,EQ,INE405C01035
LINCPEN,EQ,INE802B01019
LINDEINDIA,EQ,INE473A01011
LIQUIDBEES,EQ,INF732E01037
LITL,BE,INE785C01048
LML,EQ,INE862A01015
LOKESHMACH,EQ,INE397H01017
LOTUSEYE,BE,INE947I01017
LOVABLE,EQ,INE597L01014
LPDC,EQ,INE197J01017
LSIL,EQ,INE093R01011
LT,EQ,INE018A01030
LTI,EQ,INE214T01019
LTTS,EQ,INE010V01017
LUMAXIND,EQ,INE162B01018
LUMAXTECH,EQ,INE872H01019
LUPIN,EQ,INE326A01037
LUXIND,EQ,INE150G01020
LYCOS,EQ,INE425B01027
LYKALABS,EQ,INE933A01014
LYPSAGEMS,EQ,INE142K01011
M&M,EQ,INE101A01026
M&MFIN,EQ,INE774D01024
M&MFIN,N2,INE774D08MA6
M100,EQ,INF247L01023
M14RG,MF,INF903JA1971
M50,EQ,INF247L01536
MAANALU,EQ,INE215I01019
MADHAV,EQ,INE925C01016
MADHUCON,EQ,INE378D01032
MADRASFERT,EQ,INE414A01015
MAGADSUGAR,BE,INE347W01011
MAGMA,EQ,INE511C01022
MAGNUM,EQ,INE387I01016
MAHABANK,EQ,INE457A01014
MAHASTEEL,EQ,INE451L01014
MAHESHWARI,SM,INE263W01010
MAHINDCIE,EQ,INE536H01010
MAHLIFE,EQ,INE813A01018
MAHSCOOTER,EQ,INE288A01013
MAHSEAMLES,EQ,INE271B01025
MAITHANALL,EQ,INE683C01011
MAJESCO,EQ,INE898S01029
MALUPAPER,EQ,INE383H01017
MALWACOTT,BE,INE272B01015
MANAKALUCO,EQ,INE859Q01017
MANAKCOAT,EQ,INE830Q01018
MANAKINDST,EQ,INE831Q01016
MANAKSIA,EQ,INE015D01022
MANAKSTEEL,EQ,INE824Q01011
MANALIPETC,EQ,INE201A01024
MANAPPURAM,EQ,INE522D01027
MANAV,SM,INE104Y01012
MANDHANA,BE,INE087J01010
MANGALAM,EQ,INE584F01014
MANGCHEFER,EQ,INE558B01017
MANGLMCEM,EQ,INE347A01017
MANGTIMBER,EQ,INE805B01012
MANINDS,EQ,INE993A01026
MANINFRA,EQ,INE949H01023
MANPASAND,EQ,INE122R01018
MANUGRAPH,EQ,INE867A01022
MARALOVER,EQ,INE882A01013
MARATHON,EQ,INE182D01012
MARICO,EQ,INE196A01026
MARKSANS,EQ,INE750C01026
MARUTI,EQ,INE585B01010
MASTEK,EQ,INE759A01021
MATRIMONY,EQ,INE866R01028
MAWANASUG,EQ,INE636A01039
MAXINDIA,EQ,INE153U01017
MAXVIL,EQ,INE154U01015
MAYURUNIQ,EQ,INE040D01038
MAZDA,EQ,INE885E01034
MBAPL,SM,INE900L01010
MBECL,BE,INE748A01016
MBLINFRA,EQ,INE912H01013
MCDHOLDING,EQ,INE836H01014
MCDOWELL-N,EQ,INE854D01016
MCLEODRUSS,EQ,INE942G01012
MCX,EQ,INE745G01035
MEGASOFT,EQ,INE933B01012
MEGH,EQ,INE974H01013
MELSTAR,BE,INE817A01019
MENONBE,EQ,INE071D01033
MEP,EQ,INE776I01010
MERCATOR,EQ,INE934B01028
MERCK,EQ,INE199A01012
METALFORGE,EQ,INE425A01011
METKORE,BE,INE592I01029
MFSL,EQ,INE180A01020
MGL,EQ,INE002S01010
MHRIL,EQ,INE998I01010
MIC,EQ,INE287C01029
MIDCAPIWIN,EQ,INF109KB1XT3
MILTON,SM,INE376Y01016
MINDACORP,EQ,INE842C01021
MINDAIND,EQ,INE405E01023
MINDTECK,EQ,INE110B01017
MINDTREE,EQ,INE018I01017
MIRCELECTR,EQ,INE831A01028
MIRZAINT,EQ,INE771A01026
MKPL,SM,INE964W01013
MMFL,EQ,INE227C01017
MMTC,EQ,INE123F01029
MOHITIND,EQ,INE954E01012
MOHOTAMILL,EQ,INE313D01013
MOIL,EQ,INE490G01020
MOLDTECH,EQ,INE835B01035
MOLDTKPAC,EQ,INE893J01029
MOMAI,SM,INE133R01015
MONNETISPA,EQ,INE743C01013
MONSANTO,EQ,INE274B01011
MONTECARLO,EQ,INE950M01013
MORARJEE,EQ,INE161G01027
MOREPENLAB,EQ,INE083A01026
MOSERBAER,EQ,INE739A01015
MOTHERSUMI,EQ,INE775A01035
MOTILALOFS,EQ,INE338I01027
MOTOGENFIN,EQ,INE861B01015
MPHASIS,EQ,INE356A01018
MPSLTD,EQ,INE943D01017
MPTODAY,SM,INE105Y01019
MRF,EQ,INE883A01011
MRO-TEK,BE,INE398B01018
MRPL,EQ,INE103A01014
MSPL,EQ,INE752G01015
MTEDUCARE,EQ,INE472M01018
MTNL,EQ,INE153A01019
MUKANDENGG,EQ,INE022B01014
MUKANDLTD,EQ,INE304A01026
MUKANDLTD,P1,INE304A04012
MUKTAARTS,EQ,INE374B01019
MUNJALAU,EQ,INE672B01032
MUNJALSHOW,EQ,INE577A01027
MURUDCERA,BE,INE692B01014
MUTHOOTCAP,EQ,INE296G01013
MUTHOOTFIN,EQ,INE414G01012
MUTHOOTFIN,NB,INE414G07241
MUTHOOTFIN,NF,INE414G07AG6
N100,EQ,INF247L01031
NABARD,N2,INE261F07032
NACLIND,EQ,INE295D01020
NAGAFERT,EQ,INE454M01024
NAGAROIL,EQ,INE453M01018
NAGREEKCAP,EQ,INE245I01016
NAGREEKEXP,EQ,INE123B01028
NAHARCAP,EQ,INE049I01012
NAHARINDUS,EQ,INE289A01011
NAHARPOLY,EQ,INE308A01027
NAHARSPING,EQ,INE290A01027
NAKODA,BE,INE559B01023
NANDANI,SM,INE696V01013
NATCOPHARM,EQ,INE987B01026
NATHBIOGEN,EQ,INE448G01010
NATIONALUM,EQ,INE139A01034
NATNLSTEEL,EQ,INE088B01015
NAUKRI,EQ,INE663F01024
NAVINFLUOR,EQ,INE048G01026
NAVKARCORP,EQ,INE278M01019
NAVNETEDUL,EQ,INE060A01024
NBCC,EQ,INE095N01023
NBIFIN,EQ,INE365I01012
NBVENTURES,EQ,INE725A01022
NCC,EQ,INE868B01028
NCLIND,EQ,INE732C01016
NDGL,EQ,INE756C01015
NDL,EQ,INE875G01030
NDTV,BE,INE155G01029
NECCLTD,EQ,INE553C01016
NECLIFE,EQ,INE023H01027
NELCAST,EQ,INE189I01024
NELCO,BE,INE045B01015
NESCO,EQ,INE317F01035
NESTLEIND,EQ,INE239A01016
NETWORK18,EQ,INE870H01013
NEULANDLAB,EQ,INE794A01010
NEXTMEDIA,EQ,INE747B01016
NFL,EQ,INE870D01012
NH,EQ,INE410P01011
NHAI,N1,INE906B07CA1
NHAI,N2,INE906B07CB9
NHAI,N3,INE906B07DC5
NHAI,N4,INE906B07DD3
NHAI,N6,INE906B07DF8
NHAI,N8,INE906B07EH2
NHAI,NA,INE906B07EJ8
NHAI,NC,INE906B07EN0
NHAI,NE,INE906B07EP5
NHBTF2014,N6,INE557F07132
NHPC,EQ,INE848E01016
NHPC,N5,INE848E07559
NHPC,N6,INE848E07567
NIBL,EQ,INE047O01014
NIF100IWIN,EQ,INF109KA1962
NIFTYBEES,EQ,INF732E01011
NIFTYEES,EQ,INF754K01EK3
NIFTYIWIN,EQ,INF109K012R6
NIITLTD,EQ,INE161A01038
NIITTECH,EQ,INE591G01017
NILAINFRA,EQ,INE937C01029
NILKAMAL,EQ,INE310A01015
NIPPOBATRY,EQ,INE567A01010
NITCO,EQ,INE858F01012
NITESHEST,EQ,INE639K01016
NITINFIRE,BE,INE489H01020
NITINSPIN,EQ,INE229H01012
NITIRAJ,SM,INE439T01012
NKIND,EQ,INE542C01019
NLCINDIA,EQ,INE589A01014
NMDC,EQ,INE584A01023
NOCIL,EQ,INE163A01018
NOIDATOLL,BE,INE781B01015
NRAIL,EQ,INE740D01017
NRBBEARING,EQ,INE349A01021
NSIL,EQ,INE023A01030
NTL,EQ,INE333I01036
NTPC,EQ,INE733E01010
NTPC,N2,INE733E07JF7
NTPC,N6,INE733E07JJ9
NTPC,N7,INE733E07JP6
NTPC,NB,INE733E07JU6
NTPC,ND,INE733E07JW2
NUCLEUS,EQ,INE096B01018
NUTEK,EQ,INE318J01027
NV20IWIN,EQ,INF109KB1WY5
OBEROIRLTY,EQ,INE093I01010
OCCL,EQ,INE321D01016
OCL,EQ,INE290B01025
OFSS,EQ,INE881D01027
OIL,EQ,INE274J01014
OILCOUNTUB,EQ,INE591A01010
OISL,EQ,INE196J01019
OMAXAUTO,EQ,INE090B01011
OMAXE,EQ,INE800H01010
OMFURN,SM,INE338Y01016
OMKARCHEM,EQ,INE474L01016
OMMETALS,EQ,INE239D01028
ONELIFECAP,EQ,INE912L01015
ONGC,EQ,INE213A01029
ONMOBILE,EQ,INE809I01019
ONWARDTEC,EQ,INE229A01017
OPTIEMUS,EQ,INE350C01017
OPTOCIRCUI,EQ,INE808B01016
ORBITCORP,BZ,INE628H01015
ORBTEXP,EQ,INE231G01010
ORCHIDPHAR,BE,INE191A01019
ORICONENT,EQ,INE730A01022
ORIENTABRA,EQ,INE569C01020
ORIENTALTL,EQ,INE998H01012
ORIENTBANK,EQ,INE141A01014
ORIENTBELL,EQ,INE607D01018
ORIENTCEM,EQ,INE876N01018
ORIENTHOT,EQ,INE750A01020
ORIENTLTD,BE,INE609C01024
ORIENTPPR,EQ,INE592A01026
ORIENTREF,EQ,INE743M01012
ORISSAMINE,EQ,INE725E01024
ORTEL,EQ,INE849L01019
ORTINLABSS,EQ,INE749B01012
PAGEIND,EQ,INE761H01022
PALASHSECU,BE,INE471W01019
PALREDTEC,EQ,INE218G01033
PANACEABIO,EQ,INE922B01023
PANACHE,SM,INE895W01019
PANAMAPET,EQ,INE305C01029
PANORAMUNI,EQ,INE194B01029
PAPERPROD,EQ,INE275B01026
PARABDRUGS,EQ,INE618H01016
PARACABLES,BE,INE074B01023
PARAGMILK,EQ,INE883N01014
PARSVNATH,BE,INE561H01026
PASHUPATI,SM,INE124Y01010
PATELENG,EQ,INE244B01030
PATINTLOG,EQ,INE529D01014
PATSPINLTD,EQ,INE790C01014
PBAINFRA,EQ,INE160H01019
PCJEWELLER,EQ,INE785M01013
PDMJEPAPER,EQ,INE865T01018
PDPL,EQ,INE904D01019
PDSMFL,EQ,INE111Q01013
PDUMJEIND,EQ,INE105C01023
PDUMJEPULP,EQ,INE606A01024
PEARLPOLY,EQ,INE844A01013
PEL,EQ,INE140A01024
PENIND,EQ,INE932A01024
PENINLAND,EQ,INE138A01028
PENPEBS,EQ,INE455O01019
PERFECT,SM,INE925S01012
PERSISTENT,EQ,INE262H01013
PETRONENGG,EQ,INE742A01019
PETRONET,EQ,INE347G01014
PFC,EQ,INE134E01011
PFC,N3,INE134E07588
PFC,N4,INE134E07190
PFC,N8,INE134E07463
PFIZER,EQ,INE182A01018
PFOCUS,EQ,INE367G01038
PFS,EQ,INE560K01014
PGEL,EQ,INE457L01011
PGHH,EQ,INE179A01014
PGIL,EQ,INE940H01014
PHILIPCARB,EQ,INE602A01015
PHOENIXLTD,EQ,INE211B01039
PIDILITIND,EQ,INE318A01026
PIIND,EQ,INE603J01030
PILANIINVS,BE,INE417C01014
PILITA,EQ,INE600A01035
PINCON,EQ,INE675G01018
PIONDIST,EQ,INE889E01010
PIONEEREMB,EQ,INE156C01018
PIRPHYTO,BE,INE122J01015
PITTILAM,EQ,INE450D01021
PKTEA,EQ,INE431F01018
PLASTIBLEN,EQ,INE083C01022
PNB,EQ,INE160A01022
PNBGILTS,EQ,INE859A01011
PNBHOUSING,EQ,INE572E01012
PNC,EQ,INE392B01011
PNCINFRA,EQ,INE195J01029
POCHIRAJU,BE,INE332G01032
PODDARHOUS,EQ,INE888B01018
PODDARMENT,EQ,INE371C01013
POKARNA,EQ,INE637C01017
POLARIS,EQ,INE763A01023
POLYMED,EQ,INE205C01021
POLYPLEX,EQ,INE633B01018
PONNIERODE,EQ,INE838E01017
POWERGRID,EQ,INE752E01010
POWERMECH,EQ,INE211R01019
PPAP,EQ,INE095I01015
PRABHAT,EQ,INE302M01033
PRADIP,EQ,INE495J01015
PRAENG,EQ,INE505C01016
PRAJIND,EQ,INE074A01025
PRAKASH,EQ,INE603A01013
PRAKASHCON,EQ,INE023M01027
PRAKASHSTL,BE,INE696K01024
PRATIBHA,EQ,INE308H01022
PRECAM,EQ,INE484I01029
PRECOT,EQ,INE283A01014
PRECWIRE,EQ,INE372C01029
PREMEXPLN,EQ,INE863B01011
PREMIER,EQ,INE342A01018
PREMIERPOL,EQ,INE309M01012
PRESSMN,EQ,INE980A01023
PRESTIGE,EQ,INE811K01011
PRICOLLTD,EQ,INE726V01018
PRIMESECU,EQ,INE032B01021
PRISMCEM,EQ,INE010A01011
PROVOGE,EQ,INE968G01033
PROZONINTU,EQ,INE195N01013
PSB,EQ,INE608A01012
PSL,BE,INE474B01017
PSPPROJECT,EQ,INE488V01015
PSUBNKBEES,EQ,INF732E01110
PTC,EQ,INE877F01012
PTL,EQ,INE034D01031
PUNJABCHEM,EQ,INE277B01014
PUNJLLOYD,EQ,INE701B01021
PURVA,EQ,INE323I01011
PVP,EQ,INE362A01016
PVR,EQ,INE191H01014
QGOLDHALF,EQ,INF082J01010
QUESS,EQ,INE615P01015
QUICKHEAL,EQ,INE306L01010
QUINTEGRA,BE,INE033B01011
RADAAN,EQ,INE874F01027
RADICO,EQ,INE944F01028
RADIOCITY,EQ,INE919I01016
RAIN,EQ,INE855B01025
RAINBOWPAP,EQ,INE028D01025
RAJESHEXPO,EQ,INE343B01030
RAJOIL,EQ,INE294G01018
RAJRAYON,BE,INE533D01024
RAJSREESUG,EQ,INE562B01019
RAJTV,EQ,INE952H01027
RAJVIR,EQ,INE011H01014
RALLIS,EQ,INE613A01020
RAMANEWS,EQ,INE278B01020
RAMASTEEL,EQ,INE230R01027
RAMCOCEM,EQ,INE331A01037
RAMCOIND,EQ,INE614A01028
RAMCOSYS,EQ,INE246B01019
RAMKY,EQ,INE874I01013
RAMSARUP,BE,INE005D01015
RANASUG,EQ,INE625B01014
RANEENGINE,EQ,INE222J01013
RANEHOLDIN,EQ,INE384A01010
RATNAMANI,EQ,INE703B01027
RAYMOND,EQ,INE301A01014
RBL,EQ,INE244J01017
RBLBANK,EQ,INE976G01028
RCF,EQ,INE027A01015
RCOM,EQ,INE330H01018
RECLTD,EQ,INE020B01018
RECLTD,N9,INE020B07HS2
RECLTD,NA,INE020B07HT0
RECLTD,NG,INE020B07IH3
RECLTD,NI,INE020B07GH7
REDINGTON,EQ,INE891D01026
REFEX,EQ,INE056I01017
REGENCERAM,BE,INE277C01012
RELAXO,EQ,INE131B01039
RELCAPITAL,EQ,INE013A01015
RELCNX100,EQ,INF204K014N5
RELCONS,EQ,INF204KA1LD7
RELDIVOPP,EQ,INF204KA1MS3
RELIABLE,SM,INE375Y01018
RELIANCE,EQ,INE002A01018
RELIFIN,N7,INE958G07841
RELIFIN,N8,INE958G07858
RELIGARE,EQ,INE621H01010
RELINFRA,EQ,INE036A01016
RELNV20,EQ,INF204KA17D8
REMSONSIND,EQ,INE474C01015
RENUKA,EQ,INE087H01022
REPCOHOME,EQ,INE612J01015
REPRO,EQ,INE461B01014
RESPONIND,EQ,INE688D01026
REVATHI,EQ,INE617A01013
RHFL,EQ,INE217K01011
RHFL,N2,INE217K07AC4
RHFL,N6,INE217K07AG5
RHFL,N8,INE217K08289
RICOAUTO,EQ,INE209B01025
RIIL,EQ,INE046A01015
RJL,EQ,INE722H01016
RKDL,EQ,INE722J01012
RKEC,SM,INE786W01010
RKFORGE,EQ,INE399G01015
RMCL,BE,INE172H01014
RMDRIP,SM,INE219Y01018
RML,EQ,INE050H01012
RNAVAL,EQ,INE542F01012
ROHLTD,EQ,INE283H01019
ROLLT,EQ,INE927A01040
ROLTA,EQ,INE293A01013
ROSSELLIND,EQ,INE847C01020
RPGLIFE,EQ,INE105J01010
RPOWER,EQ,INE614G01033
RPPINFRA,EQ,INE324L01013
RRSLGETF,EQ,INF204KB1882
RSSOFTWARE,EQ,INE165B01029
RSWM,EQ,INE611A01016
RSYSTEMS,EQ,INE411H01032
RTNINFRA,EQ,INE834M01019
RTNPOWER,EQ,INE399K01017
RUBYMILLS,EQ,INE301D01026
RUCHINFRA,BE,INE413B01023
RUCHIRA,EQ,INE803H01014
RUCHISOYA,EQ,INE619A01027
RUPA,EQ,INE895B01021
RUSHIL,EQ,INE573K01017
SABEVENTS,EQ,INE860T01019
SABTN,EQ,INE416A01036
SADBHAV,EQ,INE226H01026
SADBHIN,EQ,INE764L01010
SAGCEM,EQ,INE229C01013
SAIL,EQ,INE114A01011
SAKAR,SM,INE732S01012
SAKHTISUG,EQ,INE623A01011
SAKSOFT,EQ,INE667G01015
SAKUMA,EQ,INE190H01016
SALASAR,EQ,INE170V01019
SALONA,EQ,INE498E01010
SALORAINTL,BE,INE924A01013
SALSTEEL,EQ,INE658G01014
SALZERELEC,EQ,INE457F01013
SAMBHAAV,BE,INE699B01027
SAMTEL,BE,INE381A01016
SANCO,EQ,INE782L01012
SANDESH,EQ,INE583B01015
SANGAMIND,EQ,INE495C01010
SANGHIIND,EQ,INE999B01013
SANGHVIFOR,EQ,INE263L01013
SANGHVIMOV,EQ,INE989A01024
SANGINITA,SM,INE753W01010
SANOFI,EQ,INE058A01010
SANWARIA,EQ,INE890C01046
SARDAEN,EQ,INE385C01013
SAREGAMA,EQ,INE979A01017
SARLAPOLY,EQ,INE453D01025
SASKEN,EQ,INE231F01020
SASTASUNDR,EQ,INE019J01013
SATHAISPAT,EQ,INE176C01016
SATIN,EQ,INE836B01017
SBILIFE,EQ,INE123W01016
SBIN,EQ,INE062A01020
SBIN,N2,INE062A08025
SBIN,N5,INE062A08058
SCAPDVR,EQ,INE224E01036
SCHAEFFLER,EQ,INE513A01014
SCHAND,EQ,INE807K01035
SCHNEIDER,EQ,INE839M01018
SCI,EQ,INE109A01011
SDBL,EQ,INE480C01012
SEAMECLTD,EQ,INE497B01018
SEINV,EQ,INE420C01042
SELAN,EQ,INE818A01017
SELMCL,EQ,INE105I01012
SENSEXIWIN,EQ,INF346A01034
SEPOWER,BE,INE735M01018
SEQUENT,EQ,INE807F01027
SERVALL,BE,INE431L01016
SESHAPAPER,EQ,INE630A01016
SETCO,EQ,INE878E01021
SETF10GILT,EQ,INF200KA1JT1
SETFGOLD,EQ,INF200K01099
SETFNIF50,EQ,INF200KA1FS1
SETFNIFBK,EQ,INF200KA1580
SETFNN50,EQ,INF200KA1598
SEZAL,BE,INE955I01036
SFL,EQ,INE916U01025
SGBAUG24,GB,IN0020160027
SGBFEB24,GB,IN0020150101
SGBJUL25,GB,IN0020170034
SGBMAR24,GB,IN0020150119
SGBMAR25,GB,IN0020160126
SGBMAY25,GB,IN0020170018
SGBNOV23,GB,IN0020150085
SGBNOV24,GB,IN0020160076
SGBSEP24,GB,IN0020160043
SGL,EQ,INE353H01010
SHAHALLOYS,EQ,INE640C01011
SHAIVAL,SM,INE262S01010
SHAKTIPUMP,EQ,INE908D01010
SHALPAINTS,EQ,INE849C01026
SHANKARA,EQ,INE274V01019
SHANTI,SM,INE933X01016
SHANTIGEAR,EQ,INE631A01022
SHARDACROP,EQ,INE221J01015
SHARDAMOTR,EQ,INE597I01010
SHARIABEES,EQ,INF732E01128
SHARONBIO,BE,INE028B01029
SHEMAROO,EQ,INE363M01019
SHILPAMED,EQ,INE790G01031
SHILPI,EQ,INE510K01019
SHIRPUR-G,EQ,INE196B01016
SHIVAMAUTO,EQ,INE637H01024
SHIVTEX,EQ,INE705C01012
SHK,EQ,INE500L01026
SHOPERSTOP,EQ,INE498B01024
SHREECEM,EQ,INE070A01015
SHREEPUSHK,EQ,INE712K01011
SHREERAMA,EQ,INE879A01019
SHRENIK,SM,INE632X01014
SHRENUJ,BZ,INE633A01028
SHREYANIND,EQ,INE231C01019
SHREYAS,EQ,INE757B01015
SHRIPISTON,BE,INE526E01018
SHRIRAMCIT,EQ,INE722A01011
SHRIRAMCIT,ND,INE722A07471
SHRIRAMEPC,EQ,INE964H01014
SHYAMCENT,EQ,INE979R01011
SICAGEN,EQ,INE176J01011
SICAL,EQ,INE075B01012
SIEMENS,EQ,INE003A01024
SIGNET,EQ,INE529F01027
SIIL,SM,INE971P01012
SIKKO,SM,INE112X01017
SIL,BE,INE173A01025
SILINV,EQ,INE923A01015
SIMBHALS,EQ,INE748T01016
SIMPLEX,EQ,INE898F01018
SIMPLEXINF,EQ,INE059B01024
SINTEX,EQ,INE429C01035
SIS,EQ,INE285J01010
SITASHREE,EQ,INE686I01011
SITINET,EQ,INE965H01011
SIYSIL,EQ,INE076B01010
SJVN,EQ,INE002L01015
SKFINDIA,EQ,INE640A01023
SKIL,EQ,INE429F01012
SKIPPER,EQ,INE439E01022
SKMEGGPROD,EQ,INE411D01015
SKML,SM,INE672X01010
SMARTLINK,EQ,INE178C01020
SMLISUZU,EQ,INE294B01019
SMPL,EQ,INE215G01021
SMSLIFE,BE,INE320X01016
SMSPHARMA,EQ,INE812G01025
SNOWMAN,EQ,INE734N01019
SOBHA,EQ,INE671H01015
SOLARINDS,EQ,INE343H01029
SOMANYCERA,EQ,INE355A01028
SOMATEX,EQ,INE314C01013
SOMICONVEY,EQ,INE323J01019
SONASTEER,EQ,INE643A01035
SONATSOFTW,EQ,INE269A01021
SORILHOLD,BE,INE126M01010
SORILINFRA,EQ,INE034H01016
SOTL,EQ,INE035D01012
SOUTHBANK,EQ,INE683A01023
SPAL,EQ,INE212I01016
SPARC,EQ,INE232I01014
SPECIALITY,EQ,INE247M01014
SPENTEX,EQ,INE376C01020
SPHEREGSL,EQ,INE737B01033
SPIC,EQ,INE147A01011
SPICEMOBI,EQ,INE927C01020
SPLIL,EQ,INE978G01016
SPMLINFRA,EQ,INE937A01023
SPTL,EQ,INE501W01021
SPYL,BE,INE268L01020
SQSBFSI,EQ,INE201K01015
SREEL,EQ,INE099F01013
SREIBNPNCD,ND,INE881J07EG2
SREIBNPNCD,NF,INE881J07EC1
SREIBNPNCD,NJ,INE881J07EL2
SREIBNPNCD,NL,INE881J07EN8
SREIBNPNCD,NP,INE881J08581
SREIBNPNCD,NQ,INE881J08599
SREIBNPNCD,NU,INE881J08631
SREINFRA,EQ,INE872A01014
SREINFRA,Y5,INE872A07UF8
SREINFRA,Y7,INE872A07UH4
SRF,EQ,INE647A01010
SRHHYPOLTD,EQ,INE917H01012
SRIPIPES,EQ,INE943C01027
